,Artist,Average Spotify Streams,Track Counts,Average Spotify Playlist Count,Average Spotify Playlist Reach,Average Spotify Popularity,Average YouTube Views,Average YouTube Likes,Average TikTok Posts,Average TikTok Likes,Average TikTok Views,Average YouTube Playlist Reach,Average Apple Music Playlist Count,Average AirPlay Spins,Average SiriusXM Spins,Average Deezer Playlist Count,Average Deezer Playlist Reach,Average Amazon Playlist Count,Average Pandora Streams,Average Pandora Track Stations,Average Soundcloud Streams,Average Shazam Counts
1073,Little Caesar & the Romans,0.0,1,42.0,3735.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42819628.0,3780513.0,0.0,0.0
1074,Little Mix,642037328.0,1,56621.0,20621933.0,67.0,1143353058.0,9332783.0,130256.0,33193688.0,290754721.0,633436955.0,110.0,39176.0,2.0,25.0,115424.0,21.0,39284360.0,53359.0,0.0,2332701.0
1075,Livingston,34343044.0,1,5156.0,7788420.0,,11778991.0,285840.0,0.0,428800.0,6100000.0,0.0,1.0,215.0,0.0,0.0,0.0,20.0,4804147.0,6778.0,0.0,177644.0
1076,Lizzo,729347226.4,5,68748.4,27643062.8,64.6,111086631.2,1313566.2,784029.0,363788454.2,3718108074.0,470297947.0,91.8,365660.6,1249.2,56.0,969258.4,50.6,106173816.2,145174.8,0.0,3506185.2
1077,Lizzy McAlpine,540382129.0,1,67808.0,85710040.0,76.0,33922247.0,572580.0,681271.0,330884076.0,2631370364.0,237035026.0,76.0,24819.0,558.0,31.0,1893859.0,58.0,5849073.0,5565.0,3195140.0,1224138.0
1078,Lo Greco Bros,0.0,1,4.0,271.0,,354682832.0,389042.0,0.0,0.0,0.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1079,Logan Paul,82539441.0,1,6224.0,1056938.0,45.0,622214179.0,7775615.0,4511709.0,30197076.0,137325098.0,146516351.0,2.0,6.0,0.0,0.0,0.0,0.0,11277667.0,109738.0,0.0,250574.0
1080,Logic,929087089.0,2,129207.5,23724072.0,65.5,502084959.0,6691753.0,240432.0,14277901.0,99126836.0,76855637.5,65.0,583.5,4.0,21.0,131325.0,13.5,199430916.5,179441.0,10833356.5,3731295.5
1081,Lola Amour,136169854.0,1,11506.0,4813121.0,63.0,117339013.0,473732.0,279014.0,57862276.0,567845644.0,46522818.0,4.0,1084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28884.0
1082,Lola Indigo,153105498.0,1,29888.0,12288087.0,63.0,47288100.0,290046.0,168400.0,22898965.0,286515216.0,10261483.0,31.0,12333.0,0.0,19.0,162668.0,23.0,2969.0,7.0,0.0,361203.0
1083,Lomiiel,22692011.0,1,1996.0,19217759.0,71.0,51510163.0,439315.0,6538.0,9803472.0,84927420.0,5782251.0,13.0,1909.0,0.0,4.0,492038.0,0.0,125762.0,1408.0,0.0,516845.0
1084,Lord Huron,2097181065.0,1,286668.0,123211490.0,84.0,807672690.0,8866507.0,451668.0,239330349.0,1722597041.0,7770380.0,78.0,11224.0,43.0,49.0,1101868.0,44.0,288302729.0,147940.0,2601964.0,8832956.0
1085,Lorde,1232502989.0,1,163195.0,59733007.0,73.0,349747981.0,2670057.0,66399.0,21267910.0,198680803.0,1928028.0,195.0,202396.0,356.0,128.0,549211.0,74.0,969328430.0,1394097.0,1047111.0,16239587.0
1086,Loreen,293815947.5,2,45196.5,28239518.5,77.0,182519664.0,1724092.5,211780.0,35369412.0,391354346.5,900152579.5,69.5,145803.0,0.0,48.5,7588559.0,29.0,184446.5,1817.5,0.0,4227346.0
1087,Lori,0.0,1,0.0,0.0,,829051158.0,2899554.0,0.0,0.0,0.0,2908705.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,Los Del Rio,0.0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15187618.0,395261.0,0.0,0.0
1089,Los Dos Carnales,250593875.0,1,25906.0,6033212.0,65.0,565294922.0,2855175.0,171488.0,10070423.0,159172238.0,20804827.0,8.0,5872.0,53.0,5.0,36142.0,16.0,97473080.0,26514.0,0.0,1067835.0
1090,Los Gemelos De Sinaloa,209092342.0,1,22379.0,7376777.0,63.0,265900557.0,1262410.0,246700.0,11562330.0,200533647.0,186.0,6.0,20.0,0.0,0.0,0.0,6.0,71876275.0,11600.0,0.0,443034.0
1091,Los Legendarios,642558596.0,1,106151.0,40485324.0,64.0,357508658.0,2089382.0,1884605.0,309769907.0,2853555921.0,56447780.0,77.0,45631.0,45.0,24.0,1535610.0,30.0,24779220.0,8899.0,0.0,2242149.0
1092,Los ï¿½ï¿½ngeles Az,212688806.0,6,21362.5,16452764.0,64.66666666666667,814960742.1666666,2406872.1666666665,10569.0,3898427.5,39949765.166666664,78836217.0,17.5,9780.333333333334,47.0,10.0,228726.0,12.5,52728220.833333336,19283.333333333332,0.0,1028820.6666666666
1093,Lost Frequencies,468522017.0,3,80958.33333333333,55892269.666666664,70.0,80763809.0,572739.3333333334,104099.66666666667,8750565.666666666,143152139.33333334,637342231.3333334,102.66666666666667,219222.33333333334,102.66666666666667,82.66666666666667,5881062.333333333,28.666666666666668,27019439.333333332,2307.3333333333335,0.0,3473850.6666666665
1094,Loud Luxury,1187784950.0,1,148513.0,50006803.0,74.0,295487246.0,1776887.0,170712.0,11588300.0,130962355.0,248747073.0,173.0,119849.0,410.0,68.0,1791986.0,57.0,94181226.0,55458.0,19604813.0,9782303.0
1095,Luan Pereira,112663424.0,5,8248.0,22525036.4,46.8,128657010.6,734786.8,20360.0,4557233.4,55202040.6,490463339.4,6.0,848.2,0.0,26.8,6031698.4,12.8,191.8,0.0,383855.8,51320.0
1096,Luan Santana,117285775.0,1,5157.0,14287746.0,,74303022.0,525485.0,0.0,0.0,0.0,1329005783.0,16.0,2808.0,0.0,41.0,10451762.0,17.0,0.0,0.0,0.0,79791.0
1097,Luca-Dante Spadafora,119141939.0,1,46323.0,14389973.0,67.0,23993631.0,167659.0,58.0,89658.0,1318558.0,103548221.0,21.0,2297.0,0.0,15.0,212114.0,13.0,0.0,0.0,2223239.0,409234.0
1098,Luciano,196604004.0,2,77627.0,6133439.5,59.5,67713270.5,618054.5,41142.0,11218989.0,129173011.0,64512786.0,15.0,9627.0,0.0,10.5,78525.0,8.5,1336.5,11.0,78369.5,814481.5
1099,Lucixn,1577904955.0,1,1.0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,Luck Ra,78623931.4,5,8294.4,16695982.0,64.4,185607524.4,578562.2,114249.4,4816303.4,78901624.0,291695908.8,6.6,4089.8,0.0,19.2,1302579.0,3.6,8905.2,15.4,5.4,89572.0
1101,LuckReaper,47151307.0,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,Lucky Brown,48055553.5,2,5839.0,10763511.0,67.5,70506711.0,302503.0,55221.5,3898086.0,26466695.0,258448502.0,1.5,63.0,0.0,1.5,974019.0,0.0,22577.5,8.5,0.0,65868.5
1103,Luclover,34621941.0,1,15846.0,2877860.0,36.0,4019929.0,89953.0,5003856.0,589943665.0,5720070197.0,86746342.0,1.0,261.0,734.0,2.0,25486.0,3.0,250124.0,597.0,0.0,539017.0
1104,Luh Kel,279660513.0,1,39887.0,4756079.0,60.0,273044816.0,3691413.0,2161109.0,76888862.0,583142943.0,36546853.0,6.0,38.0,0.0,0.0,0.0,0.0,24537425.0,84838.0,0.0,759049.0
